fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,51.4,,1.26,1.18,,,,3,4,3,4,2,4,4,386,3,,,,,,,,,,,,8,,2414,2215,2021-08-10,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.723,0.664,0,,3
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.031,other,5.1,,0.9,0.73,,,,1,1,1,4,0,4,4,785,0,,,,0,,,,0,,,,0,,3482,2914,2021-08-10,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.618,0.517,0,,1
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.056,other,44.5,,1.17,0.13,,,0.88,3,1,3,4,2,4,3,34057,190,,,,1149,480,42,0.66,52,46,11,0.71,398,,162370,137590,2021-08-10,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.564,0.478,1,,3
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.048,other,30.3,,0.87,0.61,,,,3,1,3,4,0,4,4,4067,22,,,,37,,,0.4,0,,,,13,,10493,9626,2021-08-10,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.571,0.524,0,,3
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,563.9,,0.72,0.55,,,,5,4,5,4,0,4,4,855,3,,,,,,,,,,,,0,,,,2021-08-10,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,3
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.015,other,81.7,,,,,,,5,0,5,4,4,4,4,128,0,,,,,,,,,,,,4,,1029,900,2021-08-10,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.491,0.429,0,,3
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,,other,40.7,,,,,,,3,4,3,4,4,4,4,260,2,,,,18,,,0.15,0,,,,14,,2136,1954,2021-08-10,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.434,0.397,0,,3
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.046,other,16.5,,1.11,0.41,,,0.54,2,1,2,4,2,4,0,8332,45,,,,175,56,5,0.46,13,7,0,0.66,33,,45747,40523,2021-08-10,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.472,0.418,0,,3
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,,,,,,0,4,0,4,4,4,4,28,0,,,,,,,,,,,,0,,1600,1519,2021-08-10,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.632,0.6,0,,4
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.017,other,0.0,,,,,,,0,0,0,4,4,4,4,0,0,,,,,,,,,,,,0,,1429,1335,2021-08-10,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.665,0.622,0,,0
