state,county,num_infected,num_hosp,num_not_hosp,percent_hosp,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger,total_percent_infected,total_percent_hosp
ALABAMA,AUTAUGA,2218,163,2055,0.0734896302975653,0.7276658791494814,0.1111111111111111,55049,92.6055333801792,0.33299999999999996,0.34700000000000003,0.087216859511,0.9,0.62009973681,0.055999999999999994,59338.0,26168.0,0.41,110026.0,21019.0,0.12300000000000001,0.14,0.252,0.04029137677342005,0.0029609983832585515
ALABAMA,BALDWIN,5785,316,5469,0.0546240276577355,0.765457123352413,0.1111111111111111,199510,125.493186705965,0.31,0.265,0.11333404467,0.86361576801,0.67371619818,0.063,57588.0,28069.0,0.44,111447.0,25227.0,0.13,0.187,0.222,0.028996040298731894,0.0015838805072427447
ALABAMA,BARBOUR,694,68,626,0.0979827089337175,0.5209666634826631,0.1111111111111111,26614,30.0765381110855,0.41700000000000004,0.235,0.12242792457,0.8141025641,0.34857648621000004,0.128,34382.0,17249.0,0.37,76557.0,13475.0,0.264,0.165,0.215,0.026076501089652062,0.0025550462162771473
ALABAMA,BIBB,822,68,754,0.0827250608272506,0.7640322031976414,0.1111111111111111,22572,36.2554444767049,0.376,0.335,0.10206252586,0.8376383763799999,0.44137353434,0.071,46064.0,18988.0,0.38,87957.0,20134.0,0.165,0.149,0.21100000000000002,0.03641679957469431,0.003012581959950381
ALABAMA,BLOUNT,1875,93,1782,0.0496,0.8933484445833985,0.1111111111111111,57704,89.4904119021366,0.33799999999999997,0.303,0.13360759494,0.93468795356,0.53361073248,0.06,50412.0,21033.0,0.39,91702.0,20699.0,0.165,0.172,0.23600000000000002,0.03249341466796063,0.001611673367530847
ALABAMA,CALHOUN,3098,224,2874,0.0723047127178825,0.6866329600534848,0.1111111111111111,115883,191.261170368094,0.385,0.317,0.11929167524,0.92368045649,0.59243988636,0.11699999999999999,45400.0,22231.0,0.38,90822.0,18078.0,0.196,0.159,0.221,0.026733860876918963,0.001932984130545464
ALABAMA,CHAMBERS,1179,152,1027,0.1289228159457167,0.5642446043165468,0.1111111111111111,34018,57.0263634811693,0.401,0.301,0.11938076809,0.8623853211,0.48460334029,0.075,39917.0,21532.0,0.42,80754.0,17019.0,0.203,0.184,0.214,0.034658122170615556,0.004468222705626433
ALABAMA,CHEROKEE,484,33,451,0.0681818181818181,0.8341563402590143,0.1111111111111111,25897,46.7691504420992,0.35,0.313,0.11172649917,0.94904458599,0.51836210062,0.059000000000000004,42132.0,22544.0,0.41,81932.0,17401.0,0.16399999999999998,0.203,0.20600000000000002,0.01868942348534579,0.0012742788740008496
ALABAMA,CHILTON,1547,115,1432,0.0743374272786037,0.8210027764167892,0.1111111111111111,43817,63.2413693567896,0.377,0.332,0.13759705874,0.88205980066,0.39905569642000005,0.079,47547.0,22045.0,0.42,90324.0,17684.0,0.203,0.152,0.242,0.03530593148777872,0.0026245521144761166
ALABAMA,CLARKE,889,81,808,0.0911136107986501,0.5479241807996317,0.1111111111111111,24847,20.0627490013432,0.341,0.34600000000000003,0.11926366291000001,0.90909090909,0.38229960102,0.171,40741.0,20543.0,0.28,85325.0,10075.0,0.24600000000000002,0.18100000000000002,0.226,0.035778967279752084,0.0032599508995049702
ALABAMA,COFFEE,1590,91,1499,0.0572327044025157,0.7644339577213849,0.1111111111111111,50991,75.0987887228696,0.342,0.308,0.11992366589999999,0.92517006803,0.63770962381,0.062,55122.0,25325.0,0.37,104459.0,22422.0,0.16399999999999998,0.158,0.23800000000000002,0.031181973289404013,0.0017846286599596008
ALABAMA,COLBERT,1769,117,1652,0.0661390616167326,0.6721252257676099,0.1111111111111111,54377,91.7569957632382,0.306,0.366,0.09683862525,0.92136752137,0.5466543892,0.075,49055.0,23318.0,0.45,88336.0,18565.0,0.165,0.185,0.21600000000000003,0.03253213674899314,0.002151644996965629
ALABAMA,COVINGTON,1293,78,1215,0.0603248259860788,0.8323086574654956,0.1111111111111111,37729,36.6138932625081,0.317,0.355,0.12103617686,0.94902912621,0.53610581506,0.107,40203.0,21738.0,0.39,84143.0,17115.0,0.19,0.20199999999999999,0.22,0.03427072013570463,0.0020673752286039914
ALABAMA,CULLMAN,2508,136,2372,0.0542264752791068,0.8710426953238455,0.1111111111111111,81316,110.649445931361,0.369,0.36700000000000005,0.12658246768,0.9051987767599999,0.50378489972,0.061,45796.0,21041.0,0.41,86556.0,19514.0,0.171,0.17800000000000002,0.225,0.030842638595110432,0.001672487579320183
ALABAMA,DALE,1419,84,1335,0.0591966173361522,0.7364659448503921,0.1111111111111111,49607,88.4061746916208,0.37200000000000005,0.32,0.09698863918200001,0.90316205534,0.57649513213,0.10400000000000001,45309.0,22834.0,0.41,89227.0,17623.0,0.205,0.154,0.23600000000000002,0.02860483399520229,0.0016933094119781483
ALABAMA,DALLAS,1317,201,1116,0.1526195899772209,0.308056619838229,0.1111111111111111,41426,42.3278309732924,0.431,0.26899999999999996,0.10372407687999999,0.8619329388600001,0.50673677292,0.149,34035.0,17611.0,0.34,73852.0,12189.0,0.34299999999999997,0.157,0.252,0.03179162844590354,0.004852025298121953
ALABAMA,DEKALB,2260,103,2157,0.045575221238938,0.8288159219391311,0.1111111111111111,70937,91.2850000150476,0.292,0.317,0.17319033941,0.9274292742900001,0.45800442955000004,0.063,39491.0,18685.0,0.4,78879.0,16455.0,0.198,0.155,0.247,0.031859255395632745,0.0014519926131637932
ALABAMA,ELMORE,2758,194,2564,0.0703408266860043,0.7416532474503489,0.1111111111111111,80957,130.895077801914,0.34299999999999997,0.264,0.086557164469,0.86157253599,0.54726881335,0.075,60367.0,24771.0,0.39,108702.0,24801.0,0.14300000000000002,0.139,0.22899999999999998,0.03406746791506602,0.0023963338562446733
ALABAMA,ESCAMBIA,1086,77,1009,0.070902394106814,0.6692489053553385,0.1111111111111111,37875,40.0759701355002,0.39399999999999996,0.324,0.14428344867,0.87792207792,0.37530662306,0.152,38418.0,17420.0,0.35,73248.0,13274.0,0.252,0.16699999999999998,0.223,0.028673267326732674,0.0020330033003300332
ALABAMA,ETOWAH,3231,245,2986,0.0758279170535437,0.7325649850557014,0.1111111111111111,103363,193.099390530308,0.355,0.341,0.1246599573,0.90272052762,0.55234253305,0.085,44903.0,21287.0,0.36,88317.0,18745.0,0.184,0.174,0.22,0.03125876764412797,0.002370287240114935
ALABAMA,FRANKLIN,1591,84,1507,0.0527969830295411,0.7862126245847176,0.1111111111111111,31573,49.8140929458345,0.34299999999999997,0.381,0.153034504,0.92105263158,0.41067168864000003,0.09699999999999999,39388.0,18193.0,0.38,80837.0,18366.0,0.223,0.16,0.243,0.05039115700123523,0.002660501061033161
ALABAMA,GENEVA,655,52,603,0.0793893129770992,0.8499744854567103,0.1111111111111111,26765,46.5957910877853,0.387,0.368,0.14072729009999999,0.90287769784,0.4335687305,0.10300000000000001,37823.0,20189.0,0.46,78554.0,15768.0,0.228,0.19,0.222,0.02447225854660938,0.0019428357930132635
ALABAMA,HOUSTON,2624,176,2448,0.0670731707317073,0.7206547995966134,0.1111111111111111,103891,179.16377189043,0.381,0.306,0.11070223497000001,0.90917431193,0.59288537549,0.081,47993.0,24086.0,0.45,95176.0,18511.0,0.18899999999999997,0.16,0.23800000000000002,0.025257240761952432,0.0016940832218382729
ALABAMA,JACKSON,1933,81,1852,0.0419037765131919,0.79451010293557,0.1111111111111111,52608,48.807506946656,0.387,0.29100000000000004,0.13050941708,0.9011725293099999,0.4467778134,0.086,41929.0,20487.0,0.42,78124.0,15499.0,0.188,0.185,0.217,0.03674346107055961,0.0015396897810218979
ALABAMA,JEFFERSON,27585,1653,25932,0.0599238716693855,0.4430374337176314,0.1111111111111111,659096,593.091932779715,0.34600000000000003,0.301,0.10049484847000001,0.8873381114,0.681047602,0.08199999999999999,55013.0,28162.0,0.44,107340.0,20100.0,0.18100000000000002,0.14300000000000002,0.231,0.041852780171629016,0.0025079806280117007
ALABAMA,LAUDERDALE,2825,151,2674,0.0534513274336283,0.7058570524984187,0.1111111111111111,92641,138.746578714391,0.325,0.285,0.11285158773,0.94385285576,0.59327000331,0.076,48707.0,24893.0,0.49,89714.0,19834.0,0.183,0.183,0.205,0.030494057706630974,0.0016299478632570892
ALABAMA,LAWRENCE,898,74,824,0.0824053452115812,0.730528019421404,0.1111111111111111,33433,48.4061183870748,0.326,0.364,0.14028629857,0.88055555556,0.48394783044999995,0.083,43909.0,21911.0,0.4,94296.0,19238.0,0.183,0.162,0.21899999999999997,0.026859689528310353,0.0022133819878563097
ALABAMA,LEE,4481,213,4268,0.0475340325820129,0.5848355324289165,0.1111111111111111,153947,253.389133599536,0.299,0.213,0.10350184992000001,0.9114302812699999,0.72652780087,0.061,48937.0,24951.0,0.42,103546.0,16341.0,0.23,0.10300000000000001,0.218,0.02910742008613354,0.0013835930547526096
ALABAMA,LIMESTONE,3145,172,2973,0.0546899841017488,0.7213729091179828,0.1111111111111111,90257,161.190715660087,0.33899999999999997,0.293,0.11014042164999999,0.92007434944,0.5879575447,0.079,64863.0,26086.0,0.46,111527.0,21752.0,0.141,0.139,0.23399999999999999,0.034844942774521645,0.0019056693663649356
ALABAMA,MADISON,9491,448,9043,0.0472026130017911,0.5478949011255347,0.1111111111111111,349973,436.588488141541,0.32899999999999996,0.22,0.094393471314,0.93194374686,0.73195343377,0.073,63755.0,33264.0,0.45,130336.0,24871.0,0.133,0.13699999999999998,0.225,0.027119234912407527,0.0012800987504750366
ALABAMA,MARION,949,82,867,0.0864067439409905,0.8682994454713494,0.1111111111111111,30239,40.7373540946116,0.368,0.313,0.11408083442,0.90217391304,0.55606441129,0.076,37887.0,20998.0,0.39,74517.0,15563.0,0.18600000000000003,0.201,0.21100000000000002,0.031383312940242734,0.002711729885247528
ALABAMA,MARSHALL,3313,149,3164,0.0449743434953214,0.8277551251557368,0.1111111111111111,94534,167.067902120766,0.344,0.36200000000000004,0.15643576987,0.9228934817200001,0.52029932909,0.07200000000000001,46233.0,21767.0,0.43,90033.0,18310.0,0.205,0.16399999999999998,0.247,0.035045592062115216,0.001576152495398481
ALABAMA,MOBILE,14903,1416,13487,0.0950144266255116,0.5506405691889983,0.1111111111111111,414291,336.98647823568,0.363,0.306,0.11719890151,0.8370992037899999,0.59526485353,0.087,43598.0,23318.0,0.41,95084.0,18037.0,0.195,0.145,0.24,0.03597229966376291,0.003417887426953518
