state,county,num_infected,total_percent_infected,num_hosp,num_not_hosp,percent_hosp,total_percent_hosp,percent_vaccinated,total_population,population_density_per_sqmi,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty
ALABAMA,AUTAUGA,2218,0.04029137677342005,163,2055,0.0734896302975653,0.0029609983832585515,0.41,55049,92.6055333801792,0.087216859511,0.9,0.62009973681,0.055999999999999994,59338.0,26168.0,110026.0,21019.0,0.12300000000000001
ALABAMA,BALDWIN,5785,0.028996040298731894,316,5469,0.0546240276577355,0.0015838805072427447,0.44,199510,125.493186705965,0.11333404467,0.86361576801,0.67371619818,0.063,57588.0,28069.0,111447.0,25227.0,0.13
ALABAMA,BARBOUR,694,0.026076501089652062,68,626,0.0979827089337175,0.0025550462162771473,0.37,26614,30.0765381110855,0.12242792457,0.8141025641,0.34857648621000004,0.128,34382.0,17249.0,76557.0,13475.0,0.264
ALABAMA,BIBB,822,0.03641679957469431,68,754,0.0827250608272506,0.003012581959950381,0.38,22572,36.2554444767049,0.10206252586,0.8376383763799999,0.44137353434,0.071,46064.0,18988.0,87957.0,20134.0,0.165
ALABAMA,BLOUNT,1875,0.03249341466796063,93,1782,0.0496,0.001611673367530847,0.39,57704,89.4904119021366,0.13360759494,0.93468795356,0.53361073248,0.06,50412.0,21033.0,91702.0,20699.0,0.165
ALABAMA,CALHOUN,3098,0.026733860876918963,224,2874,0.0723047127178825,0.001932984130545464,0.38,115883,191.261170368094,0.11929167524,0.92368045649,0.59243988636,0.11699999999999999,45400.0,22231.0,90822.0,18078.0,0.196
ALABAMA,CHAMBERS,1179,0.034658122170615556,152,1027,0.1289228159457167,0.004468222705626433,0.42,34018,57.0263634811693,0.11938076809,0.8623853211,0.48460334029,0.075,39917.0,21532.0,80754.0,17019.0,0.203
ALABAMA,CHEROKEE,484,0.01868942348534579,33,451,0.0681818181818181,0.0012742788740008496,0.41,25897,46.7691504420992,0.11172649917,0.94904458599,0.51836210062,0.059000000000000004,42132.0,22544.0,81932.0,17401.0,0.16399999999999998
ALABAMA,CHILTON,1547,0.03530593148777872,115,1432,0.0743374272786037,0.0026245521144761166,0.42,43817,63.2413693567896,0.13759705874,0.88205980066,0.39905569642000005,0.079,47547.0,22045.0,90324.0,17684.0,0.203
ALABAMA,CLARKE,889,0.035778967279752084,81,808,0.0911136107986501,0.0032599508995049702,0.28,24847,20.0627490013432,0.11926366291000001,0.90909090909,0.38229960102,0.171,40741.0,20543.0,85325.0,10075.0,0.24600000000000002
ALABAMA,COFFEE,1590,0.031181973289404013,91,1499,0.0572327044025157,0.0017846286599596008,0.37,50991,75.0987887228696,0.11992366589999999,0.92517006803,0.63770962381,0.062,55122.0,25325.0,104459.0,22422.0,0.16399999999999998
ALABAMA,COLBERT,1769,0.03253213674899314,117,1652,0.0661390616167326,0.002151644996965629,0.45,54377,91.7569957632382,0.09683862525,0.92136752137,0.5466543892,0.075,49055.0,23318.0,88336.0,18565.0,0.165
ALABAMA,COVINGTON,1293,0.03427072013570463,78,1215,0.0603248259860788,0.0020673752286039914,0.39,37729,36.6138932625081,0.12103617686,0.94902912621,0.53610581506,0.107,40203.0,21738.0,84143.0,17115.0,0.19
ALABAMA,CULLMAN,2508,0.030842638595110432,136,2372,0.0542264752791068,0.001672487579320183,0.41,81316,110.649445931361,0.12658246768,0.9051987767599999,0.50378489972,0.061,45796.0,21041.0,86556.0,19514.0,0.171
ALABAMA,DALE,1419,0.02860483399520229,84,1335,0.0591966173361522,0.0016933094119781483,0.41,49607,88.4061746916208,0.09698863918200001,0.90316205534,0.57649513213,0.10400000000000001,45309.0,22834.0,89227.0,17623.0,0.205
ALABAMA,DALLAS,1317,0.03179162844590354,201,1116,0.1526195899772209,0.004852025298121953,0.34,41426,42.3278309732924,0.10372407687999999,0.8619329388600001,0.50673677292,0.149,34035.0,17611.0,73852.0,12189.0,0.34299999999999997
ALABAMA,DEKALB,2260,0.031859255395632745,103,2157,0.045575221238938,0.0014519926131637932,0.4,70937,91.2850000150476,0.17319033941,0.9274292742900001,0.45800442955000004,0.063,39491.0,18685.0,78879.0,16455.0,0.198
ALABAMA,ELMORE,2758,0.03406746791506602,194,2564,0.0703408266860043,0.0023963338562446733,0.39,80957,130.895077801914,0.086557164469,0.86157253599,0.54726881335,0.075,60367.0,24771.0,108702.0,24801.0,0.14300000000000002
ALABAMA,ESCAMBIA,1086,0.028673267326732674,77,1009,0.070902394106814,0.0020330033003300332,0.35,37875,40.0759701355002,0.14428344867,0.87792207792,0.37530662306,0.152,38418.0,17420.0,73248.0,13274.0,0.252
ALABAMA,ETOWAH,3231,0.03125876764412797,245,2986,0.0758279170535437,0.002370287240114935,0.36,103363,193.099390530308,0.1246599573,0.90272052762,0.55234253305,0.085,44903.0,21287.0,88317.0,18745.0,0.184
ALABAMA,FRANKLIN,1591,0.05039115700123523,84,1507,0.0527969830295411,0.002660501061033161,0.38,31573,49.8140929458345,0.153034504,0.92105263158,0.41067168864000003,0.09699999999999999,39388.0,18193.0,80837.0,18366.0,0.223
ALABAMA,GENEVA,655,0.02447225854660938,52,603,0.0793893129770992,0.0019428357930132635,0.46,26765,46.5957910877853,0.14072729009999999,0.90287769784,0.4335687305,0.10300000000000001,37823.0,20189.0,78554.0,15768.0,0.228
ALABAMA,HOUSTON,2624,0.025257240761952432,176,2448,0.0670731707317073,0.0016940832218382729,0.45,103891,179.16377189043,0.11070223497000001,0.90917431193,0.59288537549,0.081,47993.0,24086.0,95176.0,18511.0,0.18899999999999997
ALABAMA,JACKSON,1933,0.03674346107055961,81,1852,0.0419037765131919,0.0015396897810218979,0.42,52608,48.807506946656,0.13050941708,0.9011725293099999,0.4467778134,0.086,41929.0,20487.0,78124.0,15499.0,0.188
ALABAMA,JEFFERSON,27585,0.041852780171629016,1653,25932,0.0599238716693855,0.0025079806280117007,0.44,659096,593.091932779715,0.10049484847000001,0.8873381114,0.681047602,0.08199999999999999,55013.0,28162.0,107340.0,20100.0,0.18100000000000002
ALABAMA,LAUDERDALE,2825,0.030494057706630974,151,2674,0.0534513274336283,0.0016299478632570892,0.49,92641,138.746578714391,0.11285158773,0.94385285576,0.59327000331,0.076,48707.0,24893.0,89714.0,19834.0,0.183
ALABAMA,LAWRENCE,898,0.026859689528310353,74,824,0.0824053452115812,0.0022133819878563097,0.4,33433,48.4061183870748,0.14028629857,0.88055555556,0.48394783044999995,0.083,43909.0,21911.0,94296.0,19238.0,0.183
ALABAMA,LEE,4481,0.02910742008613354,213,4268,0.0475340325820129,0.0013835930547526096,0.42,153947,253.389133599536,0.10350184992000001,0.9114302812699999,0.72652780087,0.061,48937.0,24951.0,103546.0,16341.0,0.23
ALABAMA,LIMESTONE,3145,0.034844942774521645,172,2973,0.0546899841017488,0.0019056693663649356,0.46,90257,161.190715660087,0.11014042164999999,0.92007434944,0.5879575447,0.079,64863.0,26086.0,111527.0,21752.0,0.141
