state,county,total_percent_infected,percent_vaccinated,total_population,population_density_per_sqmi,percent_republican,date_stay_at_home_effective,percent_adults_with_obesity,percent_physically_inactive,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,AUTAUGA,0.1393080241278705,0.367,55049,92.6055333801792,0.7276658791494814,0.1111111111111111,0.33299999999999996,0.34700000000000003,0.14,0.252
ALABAMA,BALDWIN,0.1226694858310114,0.453,199510,125.493186705965,0.765457123352413,0.1111111111111111,0.31,0.265,0.187,0.222
ALABAMA,BARBOUR,0.1060925220772907,0.374,26614,30.0765381110855,0.5209666634826631,0.1111111111111111,0.41700000000000004,0.235,0.165,0.215
ALABAMA,BIBB,0.1342770384924533,0.321,22572,36.2554444767049,0.7640322031976414,0.1111111111111111,0.376,0.335,0.149,0.21100000000000002
ALABAMA,BLOUNT,0.1312731297340297,0.262,57704,89.4904119021366,0.8933484445833985,0.1111111111111111,0.33799999999999997,0.303,0.172,0.23600000000000002
ALABAMA,BULLOCK,0.1259281259281259,0.459,10552,16.9426930187977,0.2420382165605095,0.1111111111111111,0.37200000000000005,0.24600000000000002,0.151,0.21600000000000003
ALABAMA,BUTLER,0.1288050185109008,0.369,20280,26.1061634875127,0.5612688960146587,0.1111111111111111,0.433,0.395,0.18100000000000002,0.233
ALABAMA,CALHOUN,0.1392456317943752,0.405,115883,191.261170368094,0.6866329600534848,0.1111111111111111,0.385,0.317,0.159,0.221
ALABAMA,CHAMBERS,0.123714440368076,0.272,34018,57.0263634811693,0.5642446043165468,0.1111111111111111,0.401,0.301,0.184,0.214
ALABAMA,CHEROKEE,0.0790578714307527,0.283,25897,46.7691504420992,0.8341563402590143,0.1111111111111111,0.35,0.313,0.203,0.20600000000000002
ALABAMA,CHILTON,0.1104258575672999,0.311,43817,63.2413693567896,0.8210027764167892,0.1111111111111111,0.377,0.332,0.152,0.242
ALABAMA,CHOCTAW,0.0512352053379934,0.583,13287,14.5451563211506,0.5630828304991772,0.1111111111111111,0.413,0.36200000000000004,0.207,0.20800000000000002
ALABAMA,CLARKE,0.1621369909406485,0.45,24847,20.0627490013432,0.5479241807996317,0.1111111111111111,0.341,0.34600000000000003,0.18100000000000002,0.226
ALABAMA,CLAY,0.1283717415942576,0.372,13483,22.3242891000964,0.7918176328502415,0.1111111111111111,0.406,0.326,0.19399999999999998,0.21600000000000003
ALABAMA,CLEBURNE,0.1097920858484238,0.268,14991,26.7646603791292,0.8742605794023964,0.1111111111111111,0.373,0.313,0.182,0.235
ALABAMA,COFFEE,0.1306598907187345,0.336,50991,75.0987887228696,0.7644339577213849,0.1111111111111111,0.342,0.308,0.158,0.23800000000000002
ALABAMA,COLBERT,0.1252330696403034,0.435,54377,91.7569957632382,0.6721252257676099,0.1111111111111111,0.306,0.366,0.185,0.21600000000000003
ALABAMA,CONECUH,0.1053285820833678,0.402,12697,14.9348977763205,0.5193621867881549,0.1111111111111111,0.43,0.40700000000000003,0.203,0.222
ALABAMA,COOSA,0.113945418737691,0.363,10864,16.690066897741,0.6437547600913938,0.1111111111111111,0.40299999999999997,0.353,0.187,0.183
ALABAMA,COVINGTON,0.1356581824070825,0.335,37729,36.6138932625081,0.8323086574654956,0.1111111111111111,0.317,0.355,0.20199999999999999,0.22
ALABAMA,CRENSHAW,0.1280859715364507,0.314,13896,22.8237481117917,0.720121270145205,0.1111111111111111,0.38,0.335,0.175,0.22899999999999998
ALABAMA,CULLMAN,0.129476649794671,0.334,81316,110.649445931361,0.8710426953238455,0.1111111111111111,0.369,0.36700000000000005,0.17800000000000002,0.225
ALABAMA,DALE,0.1234645733344179,0.446,49607,88.4061746916208,0.7364659448503921,0.1111111111111111,0.37200000000000005,0.32,0.154,0.23600000000000002
ALABAMA,DALLAS,0.1026992149693515,0.409,41426,42.3278309732924,0.308056619838229,0.1111111111111111,0.431,0.26899999999999996,0.157,0.252
ALABAMA,DEKALB,0.1363248640107393,0.284,70937,91.2850000150476,0.8288159219391311,0.1111111111111111,0.292,0.317,0.155,0.247
ALABAMA,ELMORE,0.1386299548079646,0.403,80957,130.895077801914,0.7416532474503489,0.1111111111111111,0.34299999999999997,0.264,0.139,0.22899999999999998
ALABAMA,ESCAMBIA,0.1303742527229547,0.326,37875,40.0759701355002,0.6692489053553385,0.1111111111111111,0.39399999999999996,0.324,0.16699999999999998,0.223
ALABAMA,ETOWAH,0.1506727422067509,0.356,103363,193.099390530308,0.7325649850557014,0.1111111111111111,0.355,0.341,0.174,0.22
ALABAMA,FAYETTE,0.1411483253588516,0.306,16783,26.7380007690964,0.813674384773912,0.1111111111111111,0.41,0.337,0.195,0.215
ALABAMA,FRANKLIN,0.1512977488680568,0.393,31573,49.8140929458345,0.7862126245847176,0.1111111111111111,0.34299999999999997,0.381,0.16,0.243
ALABAMA,GENEVA,0.1156408206767919,0.334,26765,46.5957910877853,0.8499744854567103,0.1111111111111111,0.387,0.368,0.19,0.222
ALABAMA,GREENE,0.1237825175687338,0.469,8587,13.2698809606746,0.1717213114754098,0.1111111111111111,0.355,0.183,0.18,0.23199999999999998
ALABAMA,HALE,0.1642891270220463,0.535,15159,23.540914962685,0.3946517412935323,0.1111111111111111,0.40399999999999997,0.278,0.177,0.235
ALABAMA,HENRY,0.1333914559721011,0.399,17187,30.5954564800358,0.6977205153617443,0.1111111111111111,0.363,0.354,0.20600000000000002,0.21100000000000002
ALABAMA,HOUSTON,0.1205587351957839,0.378,103891,179.16377189043,0.7206547995966134,0.1111111111111111,0.381,0.306,0.16,0.23800000000000002
ALABAMA,JACKSON,0.1457017781737884,0.415,52608,48.807506946656,0.79451010293557,0.1111111111111111,0.387,0.29100000000000004,0.185,0.217
ALABAMA,JEFFERSON,0.1342842782804639,0.535,659096,593.091932779715,0.4430374337176314,0.1111111111111111,0.34600000000000003,0.301,0.14300000000000002,0.231
ALABAMA,LAMAR,0.1118435349511046,0.37,14066,23.2555056602555,0.8359173126614987,0.1111111111111111,0.35700000000000004,0.365,0.20199999999999999,0.217
