state,county,num_infected,total_percent_infected,num_hosp,num_not_hosp,percent_hosp,total_percent_hosp,percent_vaccinated,total_population,population_density_per_sqmi,percent_republican,date_stay_at_home_effective,percent_adults_with_obesity,percent_physically_inactive,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,AUTAUGA,2218,0.04029137677342005,163,2055,0.0734896302975653,0.0029609983832585515,0.41,55049,92.6055333801792,0.7276658791494814,0.1111111111111111,0.33299999999999996,0.34700000000000003,0.14,0.252
ALABAMA,BALDWIN,5785,0.028996040298731894,316,5469,0.0546240276577355,0.0015838805072427447,0.44,199510,125.493186705965,0.765457123352413,0.1111111111111111,0.31,0.265,0.187,0.222
ALABAMA,BARBOUR,694,0.026076501089652062,68,626,0.0979827089337175,0.0025550462162771473,0.37,26614,30.0765381110855,0.5209666634826631,0.1111111111111111,0.41700000000000004,0.235,0.165,0.215
ALABAMA,BIBB,822,0.03641679957469431,68,754,0.0827250608272506,0.003012581959950381,0.38,22572,36.2554444767049,0.7640322031976414,0.1111111111111111,0.376,0.335,0.149,0.21100000000000002
ALABAMA,BLOUNT,1875,0.03249341466796063,93,1782,0.0496,0.001611673367530847,0.39,57704,89.4904119021366,0.8933484445833985,0.1111111111111111,0.33799999999999997,0.303,0.172,0.23600000000000002
ALABAMA,CALHOUN,3098,0.026733860876918963,224,2874,0.0723047127178825,0.001932984130545464,0.38,115883,191.261170368094,0.6866329600534848,0.1111111111111111,0.385,0.317,0.159,0.221
ALABAMA,CHAMBERS,1179,0.034658122170615556,152,1027,0.1289228159457167,0.004468222705626433,0.42,34018,57.0263634811693,0.5642446043165468,0.1111111111111111,0.401,0.301,0.184,0.214
ALABAMA,CHEROKEE,484,0.01868942348534579,33,451,0.0681818181818181,0.0012742788740008496,0.41,25897,46.7691504420992,0.8341563402590143,0.1111111111111111,0.35,0.313,0.203,0.20600000000000002
ALABAMA,CHILTON,1547,0.03530593148777872,115,1432,0.0743374272786037,0.0026245521144761166,0.42,43817,63.2413693567896,0.8210027764167892,0.1111111111111111,0.377,0.332,0.152,0.242
ALABAMA,CLARKE,889,0.035778967279752084,81,808,0.0911136107986501,0.0032599508995049702,0.28,24847,20.0627490013432,0.5479241807996317,0.1111111111111111,0.341,0.34600000000000003,0.18100000000000002,0.226
ALABAMA,COFFEE,1590,0.031181973289404013,91,1499,0.0572327044025157,0.0017846286599596008,0.37,50991,75.0987887228696,0.7644339577213849,0.1111111111111111,0.342,0.308,0.158,0.23800000000000002
ALABAMA,COLBERT,1769,0.03253213674899314,117,1652,0.0661390616167326,0.002151644996965629,0.45,54377,91.7569957632382,0.6721252257676099,0.1111111111111111,0.306,0.366,0.185,0.21600000000000003
ALABAMA,COVINGTON,1293,0.03427072013570463,78,1215,0.0603248259860788,0.0020673752286039914,0.39,37729,36.6138932625081,0.8323086574654956,0.1111111111111111,0.317,0.355,0.20199999999999999,0.22
ALABAMA,CULLMAN,2508,0.030842638595110432,136,2372,0.0542264752791068,0.001672487579320183,0.41,81316,110.649445931361,0.8710426953238455,0.1111111111111111,0.369,0.36700000000000005,0.17800000000000002,0.225
ALABAMA,DALE,1419,0.02860483399520229,84,1335,0.0591966173361522,0.0016933094119781483,0.41,49607,88.4061746916208,0.7364659448503921,0.1111111111111111,0.37200000000000005,0.32,0.154,0.23600000000000002
ALABAMA,DALLAS,1317,0.03179162844590354,201,1116,0.1526195899772209,0.004852025298121953,0.34,41426,42.3278309732924,0.308056619838229,0.1111111111111111,0.431,0.26899999999999996,0.157,0.252
ALABAMA,DEKALB,2260,0.031859255395632745,103,2157,0.045575221238938,0.0014519926131637932,0.4,70937,91.2850000150476,0.8288159219391311,0.1111111111111111,0.292,0.317,0.155,0.247
ALABAMA,ELMORE,2758,0.03406746791506602,194,2564,0.0703408266860043,0.0023963338562446733,0.39,80957,130.895077801914,0.7416532474503489,0.1111111111111111,0.34299999999999997,0.264,0.139,0.22899999999999998
ALABAMA,ESCAMBIA,1086,0.028673267326732674,77,1009,0.070902394106814,0.0020330033003300332,0.35,37875,40.0759701355002,0.6692489053553385,0.1111111111111111,0.39399999999999996,0.324,0.16699999999999998,0.223
ALABAMA,ETOWAH,3231,0.03125876764412797,245,2986,0.0758279170535437,0.002370287240114935,0.36,103363,193.099390530308,0.7325649850557014,0.1111111111111111,0.355,0.341,0.174,0.22
ALABAMA,FRANKLIN,1591,0.05039115700123523,84,1507,0.0527969830295411,0.002660501061033161,0.38,31573,49.8140929458345,0.7862126245847176,0.1111111111111111,0.34299999999999997,0.381,0.16,0.243
ALABAMA,GENEVA,655,0.02447225854660938,52,603,0.0793893129770992,0.0019428357930132635,0.46,26765,46.5957910877853,0.8499744854567103,0.1111111111111111,0.387,0.368,0.19,0.222
ALABAMA,HOUSTON,2624,0.025257240761952432,176,2448,0.0670731707317073,0.0016940832218382729,0.45,103891,179.16377189043,0.7206547995966134,0.1111111111111111,0.381,0.306,0.16,0.23800000000000002
ALABAMA,JACKSON,1933,0.03674346107055961,81,1852,0.0419037765131919,0.0015396897810218979,0.42,52608,48.807506946656,0.79451010293557,0.1111111111111111,0.387,0.29100000000000004,0.185,0.217
ALABAMA,JEFFERSON,27585,0.041852780171629016,1653,25932,0.0599238716693855,0.0025079806280117007,0.44,659096,593.091932779715,0.4430374337176314,0.1111111111111111,0.34600000000000003,0.301,0.14300000000000002,0.231
ALABAMA,LAUDERDALE,2825,0.030494057706630974,151,2674,0.0534513274336283,0.0016299478632570892,0.49,92641,138.746578714391,0.7058570524984187,0.1111111111111111,0.325,0.285,0.183,0.205
ALABAMA,LAWRENCE,898,0.026859689528310353,74,824,0.0824053452115812,0.0022133819878563097,0.4,33433,48.4061183870748,0.730528019421404,0.1111111111111111,0.326,0.364,0.162,0.21899999999999997
ALABAMA,LEE,4481,0.02910742008613354,213,4268,0.0475340325820129,0.0013835930547526096,0.42,153947,253.389133599536,0.5848355324289165,0.1111111111111111,0.299,0.213,0.10300000000000001,0.218
ALABAMA,LIMESTONE,3145,0.034844942774521645,172,2973,0.0546899841017488,0.0019056693663649356,0.46,90257,161.190715660087,0.7213729091179828,0.1111111111111111,0.33899999999999997,0.293,0.139,0.23399999999999999
ALABAMA,MADISON,9491,0.027119234912407527,448,9043,0.0472026130017911,0.0012800987504750366,0.45,349973,436.588488141541,0.5478949011255347,0.1111111111111111,0.32899999999999996,0.22,0.13699999999999998,0.225
ALABAMA,MARION,949,0.031383312940242734,82,867,0.0864067439409905,0.002711729885247528,0.39,30239,40.7373540946116,0.8682994454713494,0.1111111111111111,0.368,0.313,0.201,0.21100000000000002
ALABAMA,MARSHALL,3313,0.035045592062115216,149,3164,0.0449743434953214,0.001576152495398481,0.43,94534,167.067902120766,0.8277551251557368,0.1111111111111111,0.344,0.36200000000000004,0.16399999999999998,0.247
ALABAMA,MOBILE,14903,0.03597229966376291,1416,13487,0.0950144266255116,0.003417887426953518,0.41,414291,336.98647823568,0.5506405691889983,0.1111111111111111,0.363,0.306,0.145,0.24
ALABAMA,MONROE,455,0.020705346985210465,36,419,0.0791208791208791,0.0016382252559726963,0.37,21975,21.4246648551755,0.564209911401032,0.1111111111111111,0.418,0.337,0.17800000000000002,0.23399999999999999
ALABAMA,MONTGOMERY,8312,0.0365536166619758,751,7561,0.0903512993262752,0.003302666760484098,0.38,227392,289.906543288055,0.3546486159494357,0.1111111111111111,0.377,0.287,0.133,0.23199999999999998
ALABAMA,MORGAN,4112,0.034394211869014264,197,3915,0.047908560311284,0.0016477771736857513,0.44,119555,206.357195308012,0.7401863991785799,0.1111111111111111,0.324,0.266,0.158,0.23199999999999998
ALABAMA,PIKE,985,0.029600024040628663,40,945,0.0406091370558375,0.001202031433121976,0.38,33277,49.5117075946977,0.5842193195625759,0.1111111111111111,0.36200000000000004,0.278,0.14300000000000002,0.2
