,state,county,infection_rate,percent_vac
0,AK,ALEUTIANS EAST BOROUGH,0.1156727599640395,0.723
1,AK,ALEUTIANS WEST CENSUS AREA,0.1393326233581824,0.618
2,AK,ANCHORAGE MUNICIPALITY,0.1182534722222222,0.564
3,AK,BETHEL CENSUS AREA,0.2212009137387142,0.571
4,AK,DENALI BOROUGH,0.061039580352885,0.491
5,AK,DILLINGHAM CENSUS AREA,0.0528885272579332,0.434
6,AK,FAIRBANKS NORTH STAR BOROUGH,0.0860308315005833,0.472
7,AK,HAINES BOROUGH,0.0110671936758893,0.632
8,AK,HOONAH-ANGOON CENSUS AREA,0.0,0.665
9,AK,JUNEAU CITY AND BOROUGH,0.0547319697254018,0.674
10,AK,KENAI PENINSULA BOROUGH,0.0939224637187436,0.413
11,AK,KETCHIKAN GATEWAY BOROUGH,0.055679447521761,0.574
12,AK,KODIAK ISLAND BOROUGH,0.1010924757655023,0.566
13,AK,KUSILVAK CENSUS AREA,0.1807794082270868,0.584
14,AK,LAKE AND PENINSULA BOROUGH,0.0829145728643216,0.555
15,AK,MATANUSKA-SUSITNA BOROUGH,0.1147096023708189,0.324
16,AK,NOME CENSUS AREA,0.0494802079168332,0.614
17,AK,NORTH SLOPE BOROUGH,0.1144222945484133,0.328
18,AK,NORTHWEST ARCTIC BOROUGH,0.0904080829287495,0.497
19,AK,PETERSBURG BOROUGH,0.0560318432333129,0.663
20,AK,PRINCE OF WALES-HYDER CENSUS AREA,0.0390133806222795,0.506
21,AK,SITKA CITY AND BOROUGH,0.0987872365477452,0.676
22,AK,SKAGWAY MUNICIPALITY,0.0287404902789518,0.675
23,AK,SOUTHEAST FAIRBANKS CENSUS AREA,0.1160597707819527,0.28
24,AK,VALDEZ-CORDOVA CENSUS AREA,0.1021517061508367,0.517
25,AK,WRANGELL CITY AND BOROUGH,0.0299760191846522,0.501
26,AK,YAKUTAT CITY AND BOROUGH,0.1312607944732297,0.686
27,AK,YUKON-KOYUKUK CENSUS AREA,0.0739961759082218,0.62
28,AL,AUTAUGA,0.1393080241278705,0.367
29,AL,BALDWIN,0.1226694858310114,0.453
30,AL,BARBOUR,0.1060925220772907,0.374
31,AL,BIBB,0.1342770384924533,0.321
32,AL,BLOUNT,0.1312731297340297,0.262
33,AL,BULLOCK,0.1259281259281259,0.459
34,AL,BUTLER,0.1288050185109008,0.369
35,AL,CALHOUN,0.1392456317943752,0.405
36,AL,CHAMBERS,0.123714440368076,0.272
37,AL,CHEROKEE,0.0790578714307527,0.283
38,AL,CHILTON,0.1104258575672999,0.311
39,AL,CHOCTAW,0.0512352053379934,0.583
40,AL,CLARKE,0.1621369909406485,0.45
41,AL,CLAY,0.1283717415942576,0.372
42,AL,CLEBURNE,0.1097920858484238,0.268
43,AL,COFFEE,0.1306598907187345,0.336
44,AL,COLBERT,0.1252330696403034,0.435
45,AL,CONECUH,0.1053285820833678,0.402
46,AL,COOSA,0.113945418737691,0.363
47,AL,COVINGTON,0.1356581824070825,0.335
48,AL,CRENSHAW,0.1280859715364507,0.314
49,AL,CULLMAN,0.129476649794671,0.334
50,AL,DALE,0.1234645733344179,0.446
51,AL,DALLAS,0.1026992149693515,0.409
