,state,county,infection_rate
0,AK,ALEUTIANS EAST BOROUGH,0.11567275996403956
1,AK,ALEUTIANS WEST CENSUS AREA,0.13933262335818247
2,AK,ANCHORAGE MUNICIPALITY,0.11825347222222223
3,AK,BETHEL CENSUS AREA,0.22120091373871423
4,AK,BRISTOL BAY BOROUGH,1.0227272727272727
5,AK,DENALI BOROUGH,0.06103958035288507
6,AK,DILLINGHAM CENSUS AREA,0.05288852725793328
7,AK,FAIRBANKS NORTH STAR BOROUGH,0.08603083150058338
8,AK,HAINES BOROUGH,0.011067193675889328
9,AK,HOONAH-ANGOON CENSUS AREA,0.0
10,AK,JUNEAU CITY AND BOROUGH,0.05473196972540189
11,AK,KENAI PENINSULA BOROUGH,0.09392246371874362
12,AK,KETCHIKAN GATEWAY BOROUGH,0.05567944752176102
13,AK,KODIAK ISLAND BOROUGH,0.10109247576550238
14,AK,KUSILVAK CENSUS AREA,0.18077940822708685
15,AK,LAKE AND PENINSULA BOROUGH,0.0829145728643216
16,AK,MATANUSKA-SUSITNA BOROUGH,0.11470960237081898
17,AK,NOME CENSUS AREA,0.04948020791683327
18,AK,NORTH SLOPE BOROUGH,0.11442229454841335
19,AK,NORTHWEST ARCTIC BOROUGH,0.09040808292874951
20,AK,PETERSBURG BOROUGH,0.05603184323331292
21,AK,PRINCE OF WALES-HYDER CENSUS AREA,0.03901338062227954
22,AK,SITKA CITY AND BOROUGH,0.0987872365477452
23,AK,SKAGWAY MUNICIPALITY,0.028740490278951817
24,AK,SOUTHEAST FAIRBANKS CENSUS AREA,0.1160597707819527
25,AK,VALDEZ-CORDOVA CENSUS AREA,0.10215170615083677
26,AK,WRANGELL CITY AND BOROUGH,0.02997601918465228
27,AK,YAKUTAT CITY AND BOROUGH,0.13126079447322972
28,AK,YUKON-KOYUKUK CENSUS AREA,0.0739961759082218
29,AL,AUTAUGA,0.13930802412787055
30,AL,BALDWIN,0.12266948583101141
31,AL,BARBOUR,0.10609252207729077
32,AL,BIBB,0.13427703849245334
33,AL,BLOUNT,0.1312731297340297
34,AL,BULLOCK,0.12592812592812594
35,AL,BUTLER,0.12880501851090087
36,AL,CALHOUN,0.13924563179437524
37,AL,CHAMBERS,0.12371444036807602
38,AL,CHEROKEE,0.07905787143075278
39,AL,CHILTON,0.1104258575672999
40,AL,CHOCTAW,0.051235205337993486
41,AL,CLARKE,0.16213699094064854
42,AL,CLAY,0.12837174159425765
43,AL,CLEBURNE,0.10979208584842387
44,AL,COFFEE,0.1306598907187345
45,AL,COLBERT,0.1252330696403034
46,AL,CONECUH,0.10532858208336786
47,AL,COOSA,0.11394541873769108
48,AL,COVINGTON,0.13565818240708252
49,AL,CRENSHAW,0.12808597153645077
50,AL,CULLMAN,0.129476649794671
51,AL,DALE,0.12346457333441796
52,AL,DALLAS,0.10269921496935154
53,AL,DEKALB,0.13632486401073932
54,AL,ELMORE,0.13862995480796464
55,AL,ESCAMBIA,0.13037425272295472
56,AL,ETOWAH,0.1506727422067509
57,AL,FAYETTE,0.14114832535885166
58,AL,FRANKLIN,0.15129774886805689
59,AL,GENEVA,0.1156408206767919
60,AL,GREENE,0.12378251756873382
61,AL,HALE,0.1642891270220463
62,AL,HENRY,0.13339145597210114
63,AL,HOUSTON,0.12055873519578399
64,AL,JACKSON,0.1457017781737884
65,AL,JEFFERSON,0.13428427828046396
66,AL,LAMAR,0.11184353495110468
67,AL,LAUDERDALE,0.11423610736662748
68,AL,LAWRENCE,0.10053456445146398
69,AL,LEE,0.10807574965662263
70,AL,LIMESTONE,0.11195470858818177
71,AL,LOWNDES,0.1516553567756529
72,AL,MACON,0.09713305291122426
73,AL,MADISON,0.10320212169725053
74,AL,MARENGO,0.14213009595504428
75,AL,MARION,0.12067050388771079
76,AL,MARSHALL,0.14005828011656024
77,AL,MOBILE,0.12580044045400643
78,AL,MONROE,0.10408527468287271
79,AL,MONTGOMERY,0.11870049362874527
80,AL,MORGAN,0.1294546244537471
81,AL,PERRY,0.1263028129552841
82,AL,PICKENS,0.12584044154540894
83,AL,PIKE,0.10469891888627167
84,AL,RANDOLPH,0.09206936009154124
85,AL,RUSSELL,0.08517796449336623
86,AL,ST. CLAIR,0.12503351505943336
87,AL,SHELBY,0.12994368448613242
88,AL,SUMTER,0.08996539792387544
89,AL,TALLADEGA,0.11481907524569257
90,AL,TALLAPOOSA,0.11715014739762677
91,AL,TUSCALOOSA,0.13276492082825822
92,AL,WALKER,0.12643062924072354
93,AL,WASHINGTON,0.11705255420801176
94,AL,WILCOX,0.12918152896943988
95,AL,WINSTON,0.13072918870879005
96,AR,ARKANSAS,0.15446643028708681
97,AR,ASHLEY,0.11568398026148446
98,AR,BAXTER,0.1155442144424306
99,AR,BENTON,0.12179866089180737
100,AR,BOONE,0.13520517204530882
101,AR,BRADLEY,0.1533029824398402
102,AR,CALHOUN,0.0965503950664868
103,AR,CARROLL,0.12026074700493306
104,AR,CHICOT,0.16920339988139949
105,AR,CLARK,0.11429211469534051
106,AR,CLAY,0.13799738849563603
107,AR,CLEBURNE,0.10927404791524539
108,AR,CLEVELAND,0.147938662644545
109,AR,COLUMBIA,0.11416634693268533
110,AR,CONWAY,0.12107838434231986
111,AR,CRAIGHEAD,0.14578726026900626
112,AR,CRAWFORD,0.12757481385459316
113,AR,CRITTENDEN,0.14096548847878218
114,AR,CROSS,0.1378281259516414
115,AR,DALLAS,0.1411042944785276
116,AR,DESHA,0.13546342751518353
117,AR,DREW,0.1294802129644876
118,AR,FAULKNER,0.12588189545025277
119,AR,FRANKLIN,0.11114874400225798
120,AR,FULTON,0.11148513264406508
121,AR,GARLAND,0.1294246674581933
122,AR,GRANT,0.12471940870517383
123,AR,GREENE,0.15913954771097627
124,AR,HEMPSTEAD,0.10691064462195801
125,AR,HOT SPRING,0.18708359243137604
126,AR,HOWARD,0.14035752158763823
127,AR,INDEPENDENCE,0.12510244547257104
128,AR,IZARD,0.1487269792354538
129,AR,JACKSON,0.2079669836712722
130,AR,JEFFERSON,0.16054112294983838
131,AR,JOHNSON,0.12818872751900068
132,AR,LAFAYETTE,0.09631642512077294
133,AR,LAWRENCE,0.14476411069121053
134,AR,LEE,0.206842045839449
135,AR,LINCOLN,0.2643581081081081
136,AR,LITTLE RIVER,0.11648584713271883
137,AR,LOGAN,0.1220534799217367
138,AR,LONOKE,0.12885184629445226
139,AR,MADISON,0.1081684362934363
140,AR,MARION,0.09746016532886066
141,AR,MILLER,0.11385440506738793
142,AR,MISSISSIPPI,0.1550023369658803
143,AR,MONROE,0.1489329950753619
144,AR,MONTGOMERY,0.09514800801246383
145,AR,NEVADA,0.11997091614154144
146,AR,NEWTON,0.12420998323229718
147,AR,OUACHITA,0.12107604139936703
148,AR,PERRY,0.11133428981348636
149,AR,PHILLIPS,0.12928804408952874
150,AR,PIKE,0.11345400261242769
151,AR,POINSETT,0.15572934376062564
152,AR,POLK,0.11175115207373272
153,AR,POPE,0.14230865276563864
154,AR,PRAIRIE,0.1293723641776234
155,AR,PULASKI,0.12595206564755773
156,AR,RANDOLPH,0.13325537364962692
157,AR,ST. FRANCIS,0.15911818836520766
158,AR,SALINE,0.12471720149954671
159,AR,SCOTT,0.10767435074409104
160,AR,SEARCY,0.1296789747493973
161,AR,SEBASTIAN,0.13585549218866125
162,AR,SEVIER,0.17722114423472687
163,AR,SHARP,0.11724572870083706
164,AR,STONE,0.10506956660802814
165,AR,UNION,0.11607466004860141
166,AR,VAN BUREN,0.10129948624962225
167,AR,WASHINGTON,0.14871627638625845
168,AR,WHITE,0.13071248079438244
169,AR,WOODRUFF,0.12151898734177215
170,AR,YELL,0.1740780656951408
171,AZ,APACHE,0.16498115097305494
172,AZ,COCHISE,0.09947427772748209
173,AZ,COCONINO,0.13138085812261285
174,AZ,GILA,0.1384908734125662
175,AZ,GRAHAM,0.14771995777222752
176,AZ,GREENLEE,0.0664350389555696
177,AZ,LA PAZ,0.12317604699639947
178,AZ,MARICOPA,0.13304390631500237
179,AZ,MOHAVE,0.12306945485222523
180,AZ,NAVAJO,0.15792795066892648
181,AZ,PIMA,0.11578671968023803
182,AZ,PINAL,0.12495975487749277
183,AZ,SANTA CRUZ,0.17783560583250893
184,AZ,YAVAPAI,0.09174858251204812
185,AZ,YUMA,0.17728393213806265
186,CA,ALAMEDA,0.06074866169377783
187,CA,ALPINE,0.08060230292294066
188,CA,AMADOR,0.10293821694505936
189,CA,BUTTE,0.07267343717208216
190,CA,CALAVERAS,0.05402461605489598
191,CA,COLUSA,0.11305518169582772
192,CA,CONTRA COSTA,0.07025329294701636
193,CA,DEL NORTE,0.06899899324032792
194,CA,EL DORADO,0.06527071244483855
195,CA,FRESNO,0.116861058091224
196,CA,GLENN,0.11048497869193111
197,CA,HUMBOLDT,0.042395137136871305
198,CA,IMPERIAL,0.17880970118367684
199,CA,INYO,0.08304229724485836
200,CA,KERN,0.12875998942459582
201,CA,KINGS,0.1661958938145678
202,CA,LAKE,0.0722051377628677
203,CA,LASSEN,0.1941255356033101
204,CA,LOS ANGELES,0.13247781899326305
205,CA,MADERA,0.11732887552676909
206,CA,MARIN,0.059603749236939105
207,CA,MARIPOSA,0.03412195547288264
208,CA,MENDOCINO,0.0568997913520617
209,CA,MERCED,0.12158239700374532
210,CA,MODOC,0.06526411039475173
211,CA,MONO,0.09367211298809194
212,CA,MONTEREY,0.10654032497736493
213,CA,NAPA,0.07784005110930421
214,CA,NEVADA,0.06241291163350208
215,CA,ORANGE,0.09129915621540124
216,CA,PLACER,0.07120997969015562
217,CA,PLUMAS,0.043494443558249586
218,CA,RIVERSIDE,0.13098723925804256
219,CA,SACRAMENTO,0.078951946383447
220,CA,SAN BENITO,0.10302827665265571
221,CA,SAN BERNARDINO,0.1454635943093962
222,CA,SAN DIEGO,0.09670044603139893
223,CA,SAN FRANCISCO,0.05088656444508473
224,CA,SAN JOAQUIN,0.10919401481077166
225,CA,SAN LUIS OBISPO,0.08314406716800124
226,CA,SAN MATEO,0.060728723813648536
227,CA,SANTA BARBARA,0.08475494905923642
228,CA,SANTA CLARA,0.06560565852565446
229,CA,SANTA CRUZ,0.06559717143766951
230,CA,SHASTA,0.0855231008440693
231,CA,SIERRA,0.029284525790349417
232,CA,SISKIYOU,0.06150807322170927
233,CA,SOLANO,0.08337000690282212
234,CA,SONOMA,0.06923428599171413
235,CA,STANISLAUS,0.12293066502015763
236,CA,SUTTER,0.1095379030844273
237,CA,TEHAMA,0.09275705242455903
238,CA,TRINITY,0.03695563695563696
239,CA,TULARE,0.1320649084610517
240,CA,TUOLUMNE,0.09047688975366203
241,CA,VENTURA,0.10534086046671064
242,CA,YOLO,0.07257596371882086
243,CA,YUBA,0.09306198200030508
244,CO,ADAMS,0.12455621244595794
245,CO,ALAMOSA,0.1127333210127518
246,CO,ARAPAHOE,0.10167989156094366
247,CO,ARCHULETA,0.08361251692921805
248,CO,BACA,0.09299078469701201
249,CO,BENT,0.2779272010041241
250,CO,BOULDER,0.07734920109382089
251,CO,BROOMFIELD,0.07508692258568084
252,CO,CHAFFEE,0.09132442523089015
253,CO,CHEYENNE,0.07318405243036592
254,CO,CLEAR CREEK,0.05381443298969072
255,CO,CONEJOS,0.09360146252285192
256,CO,COSTILLA,0.06663236429122717
257,CO,CROWLEY,0.36627619204751694
258,CO,CUSTER,0.0473559589581689
259,CO,DELTA,0.10130928695205699
260,CO,DENVER,0.10627864540002832
261,CO,DOLORES,0.06520681265206812
262,CO,DOUGLAS,0.09288517288710936
263,CO,EAGLE,0.12053984435938832
264,CO,ELBERT,0.07400202027760111
265,CO,EL PASO,0.1081172621435502
266,CO,FREMONT,0.14009490164928196
267,CO,GARFIELD,0.10912239223456154
268,CO,GILPIN,0.047733461476854075
269,CO,GRAND,0.09863988814033303
270,CO,GUNNISON,0.0829801855457565
271,CO,HINSDALE,0.04390243902439024
272,CO,HUERFANO,0.06698564593301436
273,CO,JACKSON,0.04956896551724138
274,CO,JEFFERSON,0.08749641865149146
275,CO,KIOWA,0.0689900426742532
276,CO,KIT CARSON,0.09553332393969283
277,CO,LAKE,0.10569705918543128
278,CO,LA PLATA,0.07819142313370449
279,CO,LARIMER,0.08236503884852578
280,CO,LAS ANIMAS,0.09010064800772094
281,CO,LINCOLN,0.18452902999473778
282,CO,LOGAN,0.1826498281940292
283,CO,MESA,0.1198690097918423
284,CO,MINERAL,0.13003901170351106
285,CO,MOFFAT,0.09320183693442746
286,CO,MONTEZUMA,0.0839857923079861
287,CO,MONTROSE,0.09565461434117592
288,CO,MORGAN,0.09608504197055182
289,CO,OTERO,0.11543932596564176
290,CO,OURAY,0.06441841680129241
291,CO,PARK,0.04866012204828867
292,CO,PHILLIPS,0.09519343493552168
293,CO,PITKIN,0.15331794900658524
294,CO,PROWERS,0.10787052251068024
295,CO,PUEBLO,0.11956134517645942
296,CO,RIO BLANCO,0.11179633143580013
297,CO,RIO GRANDE,0.08609212745185053
298,CO,ROUTT,0.09626335907637101
