county,num_hosp,num_not_hosp,num_infected,percent_hosp,percent_republican,state,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,percent_vaccinated,eightieth_percentile_income,twentieth_percentile_income,percent_food_insecure,percent_age_65_and_older,percent_age_17_and_younger
BEDFORD,250,2856,3106,0.0804893754024468,0.7209641387419166,VIRGINIA,2020-03-30,37.3151716088091,-79.5242045507457,76933,101.240886358358,34.2,26.7,9.9546338302,70.53633,91.8,65.699850299,4.7,61186.0,29561.0,1113.0,,111470.0,27894.0,8.2,19.3,20.9
IREDELL,430,7195,7625,0.0563934426229508,0.6631462933133092,NORTH CAROLINA,2020-03-30,35.8067094605344,-80.8734978310702,167493,291.700854533921,31.9,25.7,11.525089618,75.69247,89.292083868,66.441595106,8.6,60044.0,28268.0,2248.0,51.0,113074.0,26480.0,12.2,14.5,24.0
NORTHUMBERLAND,355,1863,2218,0.1600541027953111,0.6943094314892687,PENNSYLVANIA,2020-04-01,40.8520294339531,-76.7093378883557,93590,204.344255962534,40.2,26.5,6.7413634799,44.55117,87.842669845,46.476295076,6.8,47243.0,23512.0,1461.0,51.0,90371.0,20195.0,12.4,19.7,19.8
BUTLER,1761,21099,22860,0.0770341207349081,0.615373995478575,OHIO,2020-03-23,39.438634320314,-84.575576306216,373638,800.078786162987,32.3,24.1,6.87605763,54.1245,90.452380952,64.428219525,6.1,61053.0,28556.0,5172.0,52.0,122800.0,26892.0,12.8,13.2,24.2
NEW HAVEN,4700,8735,13435,0.349832526981764,0.4196450715819802,CONNECTICUT,2020-03-23,41.4104645715757,-72.9321669255499,860874,1424.10572248851,28.1,21.7,5.6898991941,87.86253,85.843052711,65.837402911,8.5,67720.0,33706.0,9163.0,53.0,136839.0,26702.0,12.1,15.6,21.1
MERCER,301,2644,2945,0.1022071307300509,0.6030319830239538,PENNSYLVANIA,2020-04-01,41.3021893555165,-80.257683740142,114598,170.385368039408,33.1,26.1,6.3926609058,63.53468,92.792792793,57.064337452,6.2,48788.0,24399.0,1744.0,44.0,93142.0,21924.0,12.5,19.8,20.3
LAWRENCE,141,2054,2195,0.0642369020501139,0.7927996936039832,TENNESSEE,2020-03-31,35.2173549459405,-87.3955997414966,42406,68.7150245850728,33.3,37.0,13.025484026,36.86976,94.646680942,45.842560902,8.8,43651.0,19802.0,843.0,49.0,79450.0,17008.0,12.8,17.4,25.0
CLAIBORNE,65,809,874,0.074370709382151,0.8009310986964618,TENNESSEE,2020-03-31,36.4858646268205,-83.6604235182008,31701,72.9447553568134,26.0,30.3,11.727705359,60.10946,91.666666667,53.178886403,8.4,37987.0,19215.0,700.0,41.0,69897.0,13543.0,14.4,18.4,19.3
COCKE,100,1420,1520,0.0657894736842105,0.8074385617681016,TENNESSEE,2020-03-31,35.9254447029214,-83.1211866447958,35256,81.1380079403214,36.5,33.6,12.268719283,50.62437,93.43832021,38.940210418,10.0,36192.0,18959.0,909.0,46.0,75852.0,13797.0,15.6,19.3,20.7
BRYAN,55,83,138,0.3985507246376811,0.6939300072497199,GEORGIA,2020-04-03,32.0144766938911,-81.4436412603688,34104,78.1546733260387,35.1,29.7,12.216420598,78.25148,88.24383164,68.681787985,9.3,79658.0,29056.0,481.0,42.0,126750.0,26030.0,11.2,10.0,29.1
