state,county,infection_rate,percent_vac,percent_republican,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ALABAMA,AUTAUGA,0.1393080241278705,0.367,0.7276658791494814,2020-04-04,32.5349279554825,-86.6427478088138,55049,92.6055333801792,33.3,34.7,8.7216859511,45.0418,90.0,62.009973681,5.6,59338.0,26168.0,791.0,110026.0,21019.0,12.3,14.0,25.2
ALABAMA,BALDWIN,0.1226694858310114,0.453,0.765457123352413,2020-04-04,30.7274889936377,-87.7225752373643,199510,125.493186705965,31.0,26.5,11.333404467,72.89727,86.361576801,67.371619818,6.3,57588.0,28069.0,2967.0,111447.0,25227.0,13.0,18.7,22.2
ALABAMA,BARBOUR,0.1060925220772907,0.374,0.5209666634826631,2020-04-04,31.8695888091185,-85.3932129145765,26614,30.0765381110855,41.7,23.5,12.242792457,31.65809,81.41025641,34.857648621,12.8,34382.0,17249.0,472.0,76557.0,13475.0,26.4,16.5,21.5
ALABAMA,BIBB,0.1342770384924533,0.321,0.7640322031976414,2020-04-04,32.9986341529285,-87.1264801385788,22572,36.2554444767049,37.6,33.5,10.206252586,48.52656,83.763837638,44.137353434,7.1,46064.0,18988.0,471.0,87957.0,20134.0,16.5,14.9,21.1
ALABAMA,BLOUNT,0.1312731297340297,0.262,0.8933484445833985,2020-04-04,33.98087819855,-86.5673834130292,57704,89.4904119021366,33.8,30.3,13.360759494,22.40877,93.468795356,53.361073248,6.0,50412.0,21033.0,1085.0,91702.0,20699.0,16.5,17.2,23.6
ALABAMA,BULLOCK,0.1259281259281259,0.459,0.2420382165605095,2020-04-04,32.1005343779333,-85.7156862699383,10552,16.9426930187977,37.2,24.6,11.440376122,29.10079,70.247933884,34.976094152,13.3,29267.0,17909.0,203.0,69189.0,9337.0,26.9,15.1,21.6
ALABAMA,BUTLER,0.1288050185109008,0.369,0.5612688960146587,2020-04-04,31.7524178062516,-86.6803028820603,20280,26.1061634875127,43.3,39.5,11.186009539,25.22068,81.589958159,41.678756477,9.8,37365.0,19011.0,423.0,80036.0,14757.0,25.7,18.1,23.3
ALABAMA,CALHOUN,0.1392456317943752,0.405,0.6866329600534848,2020-04-04,33.771436514234,-85.8260345892421,115883,191.261170368094,38.5,31.7,11.929167524,63.62876,92.368045649,59.243988636,11.7,45400.0,22231.0,2373.0,90822.0,18078.0,19.6,15.9,22.1
ALABAMA,CHAMBERS,0.123714440368076,0.272,0.5642446043165468,2020-04-04,32.9143528740884,-85.3920334889517,34018,57.0263634811693,40.1,30.1,11.938076809,41.52701,86.23853211,48.460334029,7.5,39917.0,21532.0,654.0,80754.0,17019.0,20.3,18.4,21.4
ALABAMA,CHEROKEE,0.0790578714307527,0.283,0.8341563402590143,2020-04-04,34.1759260075593,-85.6038003875482,25897,46.7691504420992,35.0,31.3,11.172649917,38.67425,94.904458599,51.836210062,5.9,42132.0,22544.0,568.0,81932.0,17401.0,16.4,20.3,20.6
ALABAMA,CHILTON,0.1104258575672999,0.311,0.8210027764167892,2020-04-04,32.8478699835387,-86.7188037582823,43817,63.2413693567896,37.7,33.2,13.759705874,20.42345,88.205980066,39.905569642,7.9,47547.0,22045.0,829.0,90324.0,17684.0,20.3,15.2,24.2
