state,state_po,county_name,percent_republican
ALABAMA,AL,AUTAUGA,0.7276658791494814
ALABAMA,AL,BALDWIN,0.765457123352413
ALABAMA,AL,BARBOUR,0.5209666634826631
ALABAMA,AL,BIBB,0.7640322031976414
ALABAMA,AL,BLOUNT,0.8933484445833985
ALABAMA,AL,BULLOCK,0.24203821656050956
ALABAMA,AL,BUTLER,0.5612688960146587
ALABAMA,AL,CALHOUN,0.6866329600534848
ALABAMA,AL,CHAMBERS,0.5642446043165468
ALABAMA,AL,CHEROKEE,0.8341563402590143
ALABAMA,AL,CHILTON,0.8210027764167892
ALABAMA,AL,CHOCTAW,0.5630828304991772
ALABAMA,AL,CLARKE,0.5479241807996317
ALABAMA,AL,CLAY,0.7918176328502415
ALABAMA,AL,CLEBURNE,0.8742605794023964
ALABAMA,AL,COFFEE,0.7644339577213849
ALABAMA,AL,COLBERT,0.6721252257676099
ALABAMA,AL,CONECUH,0.5193621867881549
ALABAMA,AL,COOSA,0.6437547600913938
ALABAMA,AL,COVINGTON,0.8323086574654956
ALABAMA,AL,CRENSHAW,0.720121270145205
ALABAMA,AL,CULLMAN,0.8710426953238455
ALABAMA,AL,DALE,0.7364659448503921
ALABAMA,AL,DALLAS,0.308056619838229
ALABAMA,AL,DEKALB,0.8288159219391311
ALABAMA,AL,ELMORE,0.7416532474503489
ALABAMA,AL,ESCAMBIA,0.6692489053553385
ALABAMA,AL,ETOWAH,0.7325649850557014
ALABAMA,AL,FAYETTE,0.813674384773912
ALABAMA,AL,FRANKLIN,0.7862126245847176
ALABAMA,AL,GENEVA,0.8499744854567103
ALABAMA,AL,GREENE,0.17172131147540984
ALABAMA,AL,HALE,0.39465174129353237
ALABAMA,AL,HENRY,0.6977205153617443
ALABAMA,AL,HOUSTON,0.7206547995966134
ALABAMA,AL,JACKSON,0.79451010293557
ALABAMA,AL,JEFFERSON,0.4430374337176314
ALABAMA,AL,LAMAR,0.8359173126614987
ALABAMA,AL,LAUDERDALE,0.7058570524984187
ALABAMA,AL,LAWRENCE,0.730528019421404
ALABAMA,AL,LEE,0.5848355324289165
ALABAMA,AL,LIMESTONE,0.7213729091179828
ALABAMA,AL,LOWNDES,0.26196888090963494
ALABAMA,AL,MACON,0.15656455142231948
ALABAMA,AL,MADISON,0.5478949011255347
ALABAMA,AL,MARENGO,0.47598690194651627
ALABAMA,AL,MARION,0.8682994454713494
ALABAMA,AL,MARSHALL,0.8277551251557368
ALABAMA,AL,MOBILE,0.5506405691889983
ALABAMA,AL,MONROE,0.564209911401032
ALABAMA,AL,MONTGOMERY,0.35464861594943575
ALABAMA,AL,MORGAN,0.7401863991785799
ALABAMA,AL,PERRY,0.26657824933687
ALABAMA,AL,PICKENS,0.5717878851393837
ALABAMA,AL,PIKE,0.5842193195625759
ALABAMA,AL,RANDOLPH,0.756356140178659
ALABAMA,AL,RUSSELL,0.47829248026589116
ALABAMA,AL,ST. CLAIR,0.8242447916666666
ALABAMA,AL,SHELBY,0.7211566950441464
ALABAMA,AL,SUMTER,0.2466073935423491
ALABAMA,AL,TALLADEGA,0.617056305564702
ALABAMA,AL,TALLAPOOSA,0.6976290670224776
ALABAMA,AL,TUSCALOOSA,0.577061668681983
ALABAMA,AL,WALKER,0.82335776330076
ALABAMA,AL,WASHINGTON,0.7080745341614907
ALABAMA,AL,WILCOX,0.28391631252043154
ALABAMA,AL,WINSTON,0.8947929797343159
ARIZONA,AZ,APACHE,0.2978923393948158
ARIZONA,AZ,COCHISE,0.5616714985504349
ARIZONA,AZ,COCONINO,0.35307105580088316
ARIZONA,AZ,GILA,0.3864621086192332
ARIZONA,AZ,GRAHAM,0.39520338816113465
ARIZONA,AZ,GREENLEE,0.3644067796610169
ARIZONA,AZ,LA PAZ,0.6726600571332549
ARIZONA,AZ,MARICOPA,0.4766837560609095
ARIZONA,AZ,MOHAVE,0.7290444441664686
ARIZONA,AZ,NAVAJO,0.5106715640045665
ARIZONA,AZ,PIMA,0.3970875628498245
ARIZONA,AZ,PINAL,0.5621092121717383
ARIZONA,AZ,SANTA CRUZ,0.2371447696707844
ARIZONA,AZ,YAVAPAI,0.6232415902140673
ARIZONA,AZ,YUMA,0.47472175061309185
ARKANSAS,AR,ARKANSAS,0.6159047005795235
ARKANSAS,AR,ASHLEY,0.6603983669429667
ARKANSAS,AR,BAXTER,0.7427906506121623
ARKANSAS,AR,BENTON,0.628676774353466
ARKANSAS,AR,BOONE,0.7594190304760723
ARKANSAS,AR,BRADLEY,0.5923898165891048
ARKANSAS,AR,CALHOUN,0.6857646540326134
ARKANSAS,AR,CARROLL,0.6307863915225879
ARKANSAS,AR,CHICOT,0.4109195402298851
ARKANSAS,AR,CLARK,0.5165376495425756
ARKANSAS,AR,CLAY,0.7271153846153846
ARKANSAS,AR,CLEBURNE,0.7826230864708316
ARKANSAS,AR,CLEVELAND,0.7340488968395945
ARKANSAS,AR,COLUMBIA,0.6139304602227973
ARKANSAS,AR,CONWAY,0.6117068247760817
ARKANSAS,AR,CRAIGHEAD,0.6435217721305484
ARKANSAS,AR,CRAWFORD,0.7432516703786192
ARKANSAS,AR,CRITTENDEN,0.43655967903711135
ARKANSAS,AR,CROSS,0.6668606342740763
ARKANSAS,AR,DALLAS,0.5445687477444966
ARKANSAS,AR,DESHA,0.4507869391590322
ARKANSAS,AR,DREW,0.6016679302501895
ARKANSAS,AR,FAULKNER,0.617459549308814
ARKANSAS,AR,FRANKLIN,0.7443131462333825
ARKANSAS,AR,FULTON,0.7273679798826488
ARKANSAS,AR,GARLAND,0.6393089082220316
ARKANSAS,AR,GRANT,0.7689724647414372
ARKANSAS,AR,GREENE,0.7342465753424657
ARKANSAS,AR,HEMPSTEAD,0.6243438785643354
ARKANSAS,AR,HOT SPRING,0.6841929002009377
ARKANSAS,AR,HOWARD,0.6754385964912281
ARKANSAS,AR,INDEPENDENCE,0.7298369325694138
ARKANSAS,AR,IZARD,0.7419236417033774
ARKANSAS,AR,JACKSON,0.6336307214895268
ARKANSAS,AR,JEFFERSON,0.35722561211091375
ARKANSAS,AR,JOHNSON,0.668459174714662
ARKANSAS,AR,LAFAYETTE,0.6146853146853147
ARKANSAS,AR,LAWRENCE,0.7148636763412489
ARKANSAS,AR,LEE,0.4061467283542631
