state,county,date_stay_at_home_effective
Alabama,Choctaw,2020-04-04
California,Orange,2020-03-19
Florida,Monroe,2020-04-03
Georgia,Laurens,2020-04-03
Louisiana,Lafayette,2020-03-23
New Hampshire,Sullivan,2020-03-27
New Jersey,Atlantic,2020-03-21
North Carolina,Davidson,2020-03-30
Ohio,Geauga,2020-03-23
Oregon,Clackamas,2020-03-23
South Carolina,Laurens,NA
Tennessee,Claiborne,2020-03-31
Texas,Newton,2020-04-02
Texas,San Augustine,2020-04-02
Washington,Ferry,2020-03-23
Wisconsin,Polk,2020-03-25
Puerto Rico,Comerio,NA
Puerto Rico,Santa Isabel,NA
Alabama,Jefferson,2020-04-04
Alaska,Juneau City and Borough,2020-03-28
Alaska,Nome Census Area,2020-03-28
Colorado,Kit Carson,2020-03-26
Florida,Hillsborough,2020-04-03
Georgia,Pike,2020-04-03
Iowa,Harrison,NA
Iowa,Keokuk,NA
Maryland,Wicomico,2020-03-30
New York,Albany,2020-03-22
Ohio,Lorain,2020-03-23
Ohio,Lucas,2020-03-23
Ohio,Pike,2020-03-23
Pennsylvania,Perry,2020-04-01
West Virginia,Nicholas,2020-03-24
New Mexico,Harding,2020-03-24
Texas,Hardeman,2020-04-02
Georgia,Gilmer,2020-04-03
Georgia,Haralson,2020-04-03
Idaho,Power,2020-03-25
Iowa,Van Buren,NA
Kentucky,Knott,2020-03-26
Michigan,Gogebic,2020-03-24
Minnesota,Meeker,2020-03-27
Minnesota,Nobles,2020-03-27
Texas,Crosby,2020-04-02
Texas,San Patricio,2020-04-02
Virginia,King and Queen,2020-03-30
West Virginia,Randolph,2020-03-24
Wisconsin,Jackson,2020-03-25
Kentucky,Hickman,2020-03-26
Nebraska,Thomas,NA
Missouri,Wayne,2020-04-06
Colorado,Garfield,2020-03-26
Indiana,Union,2020-03-24
Kansas,Rooks,2020-03-30
Kansas,Stafford,2020-03-30
Louisiana,Washington,2020-03-23
Louisiana,West Baton Rouge,2020-03-23
New York,Schuyler,2020-03-22
North Carolina,Cleveland,2020-03-30
South Dakota,Sanborn,NA
Washington,Klickitat,2020-03-23
Kansas,Nemaha,2020-03-30
Nevada,Lander,2020-04-01
Texas,Ward,2020-04-02
Michigan,Ontonagon,2020-03-24
Idaho,Camas,2020-03-25
Kentucky,Lawrence,2020-03-26
Louisiana,East Carroll,2020-03-23
Massachusetts,Barnstable,2020-03-24
Mississippi,Clay,2020-04-03
Missouri,Cedar,2020-04-06
Missouri,DeKalb,2020-04-06
Missouri,Kansas City,2020-04-06
New Mexico,Otero,2020-03-24
New York,Chemung,2020-03-22
New York,Chenango,2020-03-22
New York,Genesee,2020-03-22
North Carolina,Robeson,2020-03-30
Oregon,Deschutes,2020-03-23
South Dakota,Faulk,NA
Tennessee,Unicoi,2020-03-31
Virginia,Wythe,2020-03-30
Washington,Kitsap,2020-03-23
Kansas,Norton,2020-03-30
Idaho,Oneida,2020-03-25
Connecticut,New London,2020-03-23
Georgia,Chattahoochee,2020-04-03
Illinois,White,2020-03-21
Iowa,Winnebago,NA
Missouri,Reynolds,2020-04-06
Nebraska,Hall,NA
Nebraska,Knox,NA
New Jersey,Mercer,2020-03-21
New York,Dutchess,2020-03-22
North Carolina,Alamance,2020-03-30
North Carolina,Sampson,2020-03-30
Pennsylvania,Sullivan,2020-04-01
Tennessee,Cannon,2020-03-31
Washington,Okanogan,2020-03-23
Wisconsin,Dodge,2020-03-25
Puerto Rico,Aguada,NA
Utah,Rich,NA
Northern Mariana Islands,Tinian,NA
Alaska,Bethel Census Area,2020-03-28
Florida,Taylor,2020-04-03
Idaho,Teton,2020-03-25
Illinois,Christian,2020-03-21
Illinois,Jackson,2020-03-21
Illinois,Mercer,2020-03-21
Montana,Madison,2020-03-28
Ohio,Fulton,2020-03-23
Vermont,Franklin,2020-03-24
Virginia,Greene,2020-03-30
West Virginia,Tyler,2020-03-24
New Mexico,Union,2020-03-24
Wisconsin,Pepin,2020-03-25
Michigan,Keweenaw,2020-03-24
Minnesota,Cook,2020-03-27
Alabama,Chambers,2020-04-04
Alabama,Madison,2020-04-04
Illinois,Boone,2020-03-21
Iowa,Hancock,NA
Kentucky,Jessamine,2020-03-26
Michigan,Ionia,2020-03-24
Mississippi,Quitman,2020-04-03
North Carolina,Alexander,2020-03-30
North Carolina,Duplin,2020-03-30
Pennsylvania,Washington,2020-04-01
South Carolina,Dorchester,NA
West Virginia,Marshall,2020-03-24
Puerto Rico,Maricao,NA
Alaska,Aleutians East Borough,2020-03-28
Missouri,Mercer,2020-04-06
Arkansas,Mississippi,NA
Colorado,Pueblo,2020-03-26
Connecticut,Fairfield,2020-03-23
Georgia,Jones,2020-04-03
Georgia,Pickens,2020-04-03
Georgia,Treutlen,2020-04-03
Illinois,Montgomery,2020-03-21
Illinois,Will,2020-03-21
Kansas,Morton,2020-03-30
Kentucky,Fleming,2020-03-26
Missouri,Lafayette,2020-04-06
Oklahoma,Craig,NA
Texas,Hidalgo,2020-04-02
Wisconsin,Green,2020-03-25
Texas,Kimble,2020-04-02
Arkansas,Perry,NA
Georgia,Habersham,2020-04-03
Illinois,Marion,2020-03-21
Illinois,Sangamon,2020-03-21
Indiana,Warrick,2020-03-24
Iowa,Lee,NA
Iowa,Sioux,NA
Kentucky,Union,2020-03-26
Kentucky,Washington,2020-03-26
Michigan,Osceola,2020-03-24
Oklahoma,Adair,NA
South Dakota,Lyman,NA
Tennessee,Lake,2020-03-31
Texas,Caldwell,2020-04-02
West Virginia,Summers,2020-03-24
Wisconsin,Iowa,2020-03-25
Puerto Rico,Toa Baja,NA
North Dakota,Hettinger,NA
Iowa,Crawford,NA
Kansas,Sheridan,2020-03-30
Massachusetts,Essex,2020-03-24
Minnesota,Waseca,2020-03-27
Missouri,Wright,2020-04-06
Ohio,Belmont,2020-03-23
Ohio,Crawford,2020-03-23
Wisconsin,La Crosse,2020-03-25
South Dakota,Stanley,NA
Alabama,Limestone,2020-04-04
Mississippi,Simpson,2020-04-03
New York,Yates,2020-03-22
North Carolina,Gates,2020-03-30
Pennsylvania,Bedford,2020-04-01
Pennsylvania,Forest,2020-04-01
Tennessee,McMinn,2020-03-31
Tennessee,McNairy,2020-03-31
Texas,Hutchinson,2020-04-02
Texas,Maverick,2020-04-02
Washington,Skagit,2020-03-23
West Virginia,Monongalia,2020-03-24
Wisconsin,Grant,2020-03-25
Montana,Granite,2020-03-28
California,Placer,2020-03-19
California,Tehama,2020-03-19
Colorado,Logan,2020-03-26
Florida,Flagler,2020-04-03
Florida,Okaloosa,2020-04-03
Kentucky,Johnson,2020-03-26
Michigan,Isabella,2020-03-24
Oklahoma,Texas,NA
Pennsylvania,Northumberland,2020-04-01
Tennessee,Chester,2020-03-31
Texas,Archer,2020-04-02
Texas,Terrell,2020-04-02
Alabama,Bullock,2020-04-04
Georgia,Lowndes,2020-04-03
Georgia,Pulaski,2020-04-03
Kansas,Morris,2020-03-30
Louisiana,Richland,2020-03-23
Maine,Waldo,2020-04-02
Minnesota,Stearns,2020-03-27
Mississippi,Adams,2020-04-03
Montana,Park,2020-03-28
North Carolina,Union,2020-03-30
North Dakota,Foster,NA
South Dakota,Clark,NA
Texas,Carson,2020-04-02
Vermont,Bennington,2020-03-24
Virginia,Pittsylvania,2020-03-30
West Virginia,Harrison,2020-03-24
Puerto Rico,San Juan,NA
Texas,Jim Hogg,2020-04-02
Georgia,Rabun,2020-04-03
Illinois,Hamilton,2020-03-21
Indiana,Clay,2020-03-24
Indiana,Hamilton,2020-03-24
Iowa,Lyon,NA
Louisiana,Sabine,2020-03-23
Michigan,Lenawee,2020-03-24
Texas,Crane,2020-04-02
Virginia,Virginia Beach city,2020-03-30
Virginia,York,2020-03-30
North Carolina,Camden,2020-03-30
Puerto Rico,Sabana Grande,NA
Texas,Coke,2020-04-02
Texas,Garza,2020-04-02
Nebraska,Harlan,NA
Nebraska,Loup,NA
Colorado,Teller,2020-03-26
Iowa,Fayette,NA
Iowa,Winneshiek,NA
Michigan,St. Clair,2020-03-24
Mississippi,Madison,2020-04-03
Missouri,Howard,2020-04-06
Nebraska,Nance,NA
North Carolina,Buncombe,2020-03-30
Ohio,Carroll,2020-03-23
Oklahoma,Garvin,NA
Oklahoma,Pontotoc,NA
Tennessee,Overton,2020-03-31
Virginia,Pulaski,2020-03-30
Virginia,Roanoke,2020-03-30
Missouri,Laclede,2020-04-06
Puerto Rico,Bayamon,NA
Texas,Briscoe,2020-04-02
Wisconsin,Vernon,2020-03-25
Idaho,Boise,2020-03-25
Montana,Treasure,2020-03-28
California,Ventura,2020-03-19
Indiana,Floyd,2020-03-24
Massachusetts,Plymouth,2020-03-24
Ohio,Mercer,2020-03-23
Pennsylvania,Cambria,2020-04-01
South Dakota,Union,NA
Texas,Anderson,2020-04-02
Texas,Falls,2020-04-02
