,state,county,percent_vac
0,AK,ALEUTIANS EAST BOROUGH,0.723
1,AK,ALEUTIANS WEST CENSUS AREA,0.618
2,AK,ANCHORAGE MUNICIPALITY,0.564
3,AK,BETHEL CENSUS AREA,0.571
5,AK,DENALI BOROUGH,0.491
6,AK,DILLINGHAM CENSUS AREA,0.434
7,AK,FAIRBANKS NORTH STAR BOROUGH,0.472
8,AK,HAINES BOROUGH,0.632
9,AK,HOONAH-ANGOON CENSUS AREA,0.665
10,AK,JUNEAU CITY AND BOROUGH,0.674
11,AK,KENAI PENINSULA BOROUGH,0.413
12,AK,KETCHIKAN GATEWAY BOROUGH,0.574
13,AK,KODIAK ISLAND BOROUGH,0.566
14,AK,KUSILVAK CENSUS AREA,0.584
15,AK,LAKE AND PENINSULA BOROUGH,0.555
16,AK,MATANUSKA-SUSITNA BOROUGH,0.324
17,AK,NOME CENSUS AREA,0.614
18,AK,NORTH SLOPE BOROUGH,0.328
19,AK,NORTHWEST ARCTIC BOROUGH,0.497
20,AK,PETERSBURG BOROUGH,0.663
21,AK,PRINCE OF WALES-HYDER CENSUS AREA,0.506
22,AK,SITKA CITY AND BOROUGH,0.676
23,AK,SKAGWAY MUNICIPALITY,0.675
24,AK,SOUTHEAST FAIRBANKS CENSUS AREA,0.28
25,AK,VALDEZ-CORDOVA CENSUS AREA,0.517
26,AK,WRANGELL CITY AND BOROUGH,0.501
27,AK,YAKUTAT CITY AND BOROUGH,0.686
28,AK,YUKON-KOYUKUK CENSUS AREA,0.62
29,AL,AUTAUGA,0.367
30,AL,BALDWIN,0.453
31,AL,BARBOUR,0.374
32,AL,BIBB,0.321
33,AL,BLOUNT,0.262
34,AL,BULLOCK,0.459
35,AL,BUTLER,0.369
36,AL,CALHOUN,0.405
37,AL,CHAMBERS,0.272
38,AL,CHEROKEE,0.283
39,AL,CHILTON,0.311
40,AL,CHOCTAW,0.583
41,AL,CLARKE,0.45
42,AL,CLAY,0.372
43,AL,CLEBURNE,0.268
44,AL,COFFEE,0.336
45,AL,COLBERT,0.435
46,AL,CONECUH,0.402
47,AL,COOSA,0.363
48,AL,COVINGTON,0.335
49,AL,CRENSHAW,0.314
50,AL,CULLMAN,0.334
51,AL,DALE,0.446
52,AL,DALLAS,0.409
53,AL,DEKALB,0.284
54,AL,ELMORE,0.403
55,AL,ESCAMBIA,0.326
56,AL,ETOWAH,0.356
57,AL,FAYETTE,0.306
58,AL,FRANKLIN,0.393
59,AL,GENEVA,0.334
60,AL,GREENE,0.469
61,AL,HALE,0.535
62,AL,HENRY,0.399
63,AL,HOUSTON,0.378
64,AL,JACKSON,0.415
65,AL,JEFFERSON,0.535
